Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,종목명,Ticker,변화율(%),5일이평,20일이평,60일이평,RSI,Log_Return,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,Bollinger_Mid,Bollinger_Upper,Bollinger_Lower,Bollinger_Bandwidth,Donchian_High,Donchian_Low,Momentum_10,Cumulative_Return,한국은행 기준금리,콜금리(익일물),예금은행 수신금리,예금은행 대출금리,가계신용,"M2(광의통화, 평잔)",실업률,소비자물가지수,농산물 및 석유류제외 소비자물가지수,UpdatedAt
2019-01-30,37598.60290948275,38941.41015625,37598.60290948275,38941.41015625,17505980,0.0,0.0,삼성전자,005930.KS,1.9780090056526145,37724.49296875,34841.656640625,36923.8283203125,84.01552500901543,0.019587006067795457,36462.4795474879,35050.95349960798,1411.5260478799173,988.6374654142987,422.8885824656186,34841.656640625,39217.828908823714,30465.484372426286,25.12034552970219,38941.41015625,31430.09375,4154.3125,19.741891328328887,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-01-31,39151.220984561216,39486.922772210186,38731.59375,38731.59375,21621145,0.0,0.0,삼성전자,005930.KS,-0.5388002268231329,38244.8296875,35200.43701171875,36923.8283203125,81.08922277529777,-0.00540256990298118,36811.57404018207,35323.59351815554,1487.9805220265334,1088.5060767367456,399.4744452897878,35200.43701171875,39618.77706423252,30782.09695920498,25.103893176342318,38941.41015625,31430.09375,3524.86328125,19.096721746249546,1.5,1.81,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-01,39151.24131523058,39403.01778671116,38815.53935325647,38899.46484375,13832454,0.0,0.0,삼성전자,005930.KS,0.43342160106696337,38513.39453125,35573.90556640625,36923.8283203125,81.64021858838846,0.004324850348572668,37132.788009961754,35588.47287560698,1544.3151343547725,1179.667888260351,364.64724609442146,35573.90556640625,39912.37377189007,31235.437360922424,24.39129545326503,38941.41015625,31975.603515625,3398.99609375,19.612912664460413,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-07,39277.1231737013,39528.89960430195,38773.5703125,38773.5703125,15872001,0.0,0.0,삼성전자,005930.KS,-0.3236407795214835,38706.425,35886.52783203125,36923.8283203125,79.76324837310543,-0.003241656290162695,37385.2160565061,35824.40601908054,1560.8100374255591,1255.8963180933927,304.91371933216647,35886.52783203125,40199.78004106403,31573.275622998473,24.03828104642041,38941.41015625,31975.603515625,2895.42578125,19.2257965015048,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-08,38353.9385811942,38353.9385811942,37472.721173967635,37598.609375,12689196,0.0,0.0,삼성전자,005930.KS,-3.0303140206853985,38588.9296875,36167.678125,36923.8283203125,64.79150045030312,-0.030771772005078284,37418.045797812854,35955.82848988939,1462.2173079234635,1297.1605160594067,165.05679186405678,36167.678125,40126.00502821335,32209.351221786645,21.888753209608222,38941.41015625,33234.48046875,2224.02734375,15.612880473845836,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-11,37346.83359375,37766.4609375,37137.019921875,37766.4609375,11125044,0.0,0.0,삼성전자,005930.KS,0.44643024114505714,38353.93984375,36394.2771484375,36923.8283203125,65.77968999992686,0.0044543669723353775,37471.64812699549,36089.94941193462,1381.6987150608693,1314.0681558596993,67.63055920116994,36394.2771484375,40159.77668300115,32628.77761387384,20.69281123076417,38941.41015625,33402.33203125,2517.76953125,16.12901133493998,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-12,37472.726872115905,38815.53455398344,37472.726872115905,38647.68359375,13184367,0.0,0.0,삼성전자,005930.KS,2.3333471931837657,38337.1578125,36656.5447265625,36923.8283203125,70.4662695714036,0.023065408369264764,37652.57666034234,36279.41120318021,1373.165457162133,1325.8876161201863,47.27784104194666,36656.5447265625,40272.31737924899,33040.772073876,19.727842215670645,38941.41015625,33612.1484375,2517.7734375,18.838704361395852,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-13,38941.42126623377,39193.19769683442,38605.71935876623,38773.5703125,11299738,0.0,0.0,삼성전자,005930.KS,0.3257290141196467,38311.97890625,36895.7326171875,36923.8283203125,71.07568587395467,0.003251996663478238,37825.03722221275,36464.16372979649,1360.8734924162563,1332.8847913794002,27.988701036856128,36895.7326171875,40399.917364585,33391.54786979,18.995067986616483,38941.41015625,33612.1484375,1216.9296875,19.2257965015048,1.5,1.74,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-14,39109.272269736844,39864.6015625,38731.60762335526,39864.6015625,17259341,0.0,0.0,삼성전자,005930.KS,2.813852944690698,38530.18515625,37208.3552734375,36923.8283203125,75.74667636436763,0.027749914225472936,38138.81635148771,36716.048013700456,1422.7683377872527,1350.8615006609707,71.90683712628197,37208.3552734375,40592.663498756665,33824.04704811833,18.191119711949085,39864.6015625,34493.37109375,2056.18359375,22.580635087193322,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-15,39235.16195456705,39319.087434683766,38311.98167328312,38647.68359375,10554643,0.0,0.0,삼성전자,005930.KS,-3.052627948236497,38740.0,37416.0708984375,36923.8283203125,63.44054335591902,-0.031001910888951083,38217.10361952806,36859.13213074116,1357.9714887868977,1352.2834982861561,5.687990500741535,37416.0708984375,40602.9498064847,34229.1919903903,17.034813284899364,39864.6015625,34787.09765625,461.59765625,18.838704361395852,1.5,1.77,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-18,39025.34674310065,39319.08591213474,38479.83114346591,38773.5703125,8183728,0.0,0.0,삼성전자,005930.KS,0.3257290141196467,38941.421875,37615.39453125,36923.8283203125,64.0904798426088,0.003251996663478238,38302.713879985284,37000.94236642701,1301.7715135582766,1342.1811013405804,-40.40958778230379,37615.39453125,40602.33603044744,34628.45303205256,15.881484357240804,39864.6015625,35206.73046875,-167.83984375,19.2257965015048,1.5,1.78,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-19,38479.81674204298,38731.59307841404,38144.11496021491,38563.7421875,6741395,0.0,0.0,삼성전자,005930.KS,-0.541162764503933,38924.63359375,37783.2451171875,36923.8283203125,62.108537756118224,-0.005426323545062075,38342.872081141395,37116.70531613612,1226.1667650052768,1318.9782340735196,-92.81146906824279,37783.2451171875,40570.91975822614,34995.57047614886,14.756141948064352,39864.6015625,35248.69140625,-167.8515625,18.580590885155424,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-20,39235.162559135126,39528.90174406983,39025.34885561034,39361.05078125,11506720,0.0,0.0,삼성전자,005930.KS,2.0675083602452737,39042.1296875,37976.27421875,36923.8283203125,66.36489135784745,0.02046425504133506,38499.514958081185,37282.953128366775,1216.5618297144101,1298.4949532016979,-81.93312348728773,37976.27421875,40629.81465948135,35322.73377801864,13.974727617809457,39864.6015625,35248.69140625,461.5859375,21.03225451533426,1.5,1.75,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
2019-02-21,39025.33933206869,39612.81755857295,38773.56294928115,39403.00390625,8694009,0.0,0.0,삼성전자,005930.KS,0.10658537860981365,38949.81015625,38152.5171875,36923.8283203125,66.57763474549655,0.0010652861672481295,38638.51325779947,37439.99392672849,1198.5193310709728,1278.499828775553,-79.9804977045801,38152.5171875,40684.76157872723,35620.27279627277,13.274324096533654,39864.6015625,35248.69140625,629.43359375,21.161257202049445,1.5,1.76,1.93,3.7,1572863.3,2731264.7,4.7,99.311,99.311,2025-12-05 21:33:38
